Plate,Well,ID,target_name,Amp Score,Amp Status,Task,Cq,Cq_mean,Cq_standard Deviation,Quantity,quantity_mean,Quantity Standard Deviation,Intercept,R-Squared,Slope,Efficiency,Auto Threshold,Threshold,Auto Baseline,Baseline Start,Baseline End,Omit
1,B4,36,DWV,1.269,Amp,UNKNOWN,26.926,26.694,0.328,264.78455,310.978,65.327,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,23,FALSE
2,C11,37,ACTIN,1.457,Amp,UNKNOWN,16.661,16.674,0.018,313611.28,311067.97,3596.817,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,D11,37,ACTIN,1.454,Amp,UNKNOWN,16.686,16.674,0.018,308524.62,311067.97,3596.817,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,A11,37,DWV,1.357,Amp,UNKNOWN,26.343,26.578,0.331,385.67365,335.369,71.142,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,23,FALSE
2,B11,37,DWV,1.343,Amp,UNKNOWN,26.812,26.578,0.331,285.06436,335.369,71.142,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,23,FALSE
2,C10,38,ACTIN,1.468,Amp,UNKNOWN,16.692,16.697,0.007,307438.56,306452.97,1393.81,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,D10,38,ACTIN,1.459,Amp,UNKNOWN,16.702,16.697,0.007,305467.4,306452.97,1393.81,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,A10,38,DWV,1.359,Amp,UNKNOWN,27.958,28.167,0.296,136.15175,120.057,22.761,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,24,FALSE
2,B10,38,DWV,1.35,Amp,UNKNOWN,28.376,28.167,0.296,103.96315,120.057,22.761,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,25,FALSE
1,C9,39,ACTIN,1.393,Amp,UNKNOWN,17.181,17.126,0.079,224255.03,232627.88,11840.992,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,D9,39,ACTIN,1.396,Amp,UNKNOWN,17.07,17.126,0.079,241000.73,232627.88,11840.992,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,A9,39,DWV,1.233,Amp,UNKNOWN,29.609,29.716,0.152,46.93077,43.899,4.288,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,25,FALSE
1,B9,39,DWV,1.237,Amp,UNKNOWN,29.823,29.716,0.152,40.866245,43.899,4.288,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,26,FALSE
1,C2,40,ACTIN,1.386,Amp,UNKNOWN,16.986,16.939,0.066,254428.92,262376.44,11239.5,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,D2,40,ACTIN,1.385,Amp,UNKNOWN,16.892,16.939,0.066,270323.97,262376.44,11239.5,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,11,FALSE
1,A2,40,DWV,1.282,Amp,UNKNOWN,26.578,26.743,0.234,331.47217,299.622,45.043,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,22,FALSE
1,B2,40,DWV,1.259,Amp,UNKNOWN,26.909,26.743,0.234,267.77206,299.622,45.043,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,22,FALSE
1,C10,41,ACTIN,1.391,Amp,UNKNOWN,16.813,16.697,0.164,284390.84,307272.53,32359.6,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,11,FALSE
1,D10,41,ACTIN,1.388,Amp,UNKNOWN,16.581,16.697,0.164,330154.22,307272.53,32359.6,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,11,FALSE
1,A10,41,DWV,1.232,Amp,UNKNOWN,29.869,29.531,0.477,39.69477,50.504,15.287,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,25,FALSE
1,B10,41,DWV,1.24,Amp,UNKNOWN,29.194,29.531,0.477,61.313316,50.504,15.287,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,25,FALSE
1,G1,42,ACTIN,1.399,Amp,UNKNOWN,17.449,17.246,0.287,188685.11,216922.84,39934.188,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,H1,42,ACTIN,1.41,Amp,UNKNOWN,17.043,17.246,0.287,245160.58,216922.84,39934.188,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,11,FALSE
1,E1,42,DWV,1.249,Amp,UNKNOWN,32.274,32.055,0.311,8.410176,9.787,1.947,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,28,FALSE
1,F1,42,DWV,1.27,Amp,UNKNOWN,31.835,32.055,0.311,11.163744,9.787,1.947,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,27,FALSE
2,C1,43,ACTIN,1.459,Amp,UNKNOWN,16.78,16.855,0.105,290439.4,277157.06,18784.072,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,D1,43,ACTIN,1.456,Amp,UNKNOWN,16.929,16.855,0.105,263874.72,277157.06,18784.072,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,12,FALSE
2,A1,43,DWV,1.359,Amp,UNKNOWN,22.297,22.273,0.034,5245.1265,5327.6,116.636,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,19,FALSE
2,B1,43,DWV,1.358,Amp,UNKNOWN,22.249,22.273,0.034,5410.0737,5327.6,116.636,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,19,FALSE
1,G3,44,ACTIN,1.418,Amp,UNKNOWN,20.364,20.518,0.217,28837.957,26253.6,3654.833,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,15,FALSE
1,H3,44,ACTIN,1.422,Amp,UNKNOWN,20.671,20.518,0.217,23669.242,26253.6,3654.833,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,14,FALSE
1,E3,44,DWV,1.288,Amp,UNKNOWN,33.26,32.778,0.682,4.4531736,6.375,2.718,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,29,FALSE
1,F3,44,DWV,1.297,Amp,UNKNOWN,32.296,32.778,0.682,8.296438,6.375,2.718,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,28,FALSE
1,C8,45,ACTIN,1.394,Amp,UNKNOWN,17.231,17.234,0.005,217216.56,216723.48,697.32,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,D8,45,ACTIN,1.395,Amp,UNKNOWN,17.238,17.234,0.005,216230.4,216723.48,697.32,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,11,FALSE
1,A8,45,DWV,1.239,Amp,UNKNOWN,32.546,32.768,0.313,7.058772,6.182,1.241,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,28,FALSE
1,B8,45,DWV,1.241,Amp,UNKNOWN,32.989,32.768,0.313,5.3042865,6.182,1.241,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,28,FALSE
2,C9,46,ACTIN,1.457,Amp,UNKNOWN,16.598,16.534,0.091,326550.97,340652.28,19942.277,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,D9,46,ACTIN,1.475,Amp,UNKNOWN,16.47,16.534,0.091,354753.6,340652.28,19942.277,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,A9,46,DWV,1.357,Amp,UNKNOWN,28.416,28.89,0.67,101.2874,78.121,32.763,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,25,FALSE
2,B9,46,DWV,1.356,Amp,UNKNOWN,29.364,28.89,0.67,54.953854,78.121,32.763,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,26,FALSE
2,C2,47,ACTIN,1.465,Amp,UNKNOWN,16.712,16.649,0.088,303565.97,316295.38,18002.074,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,D2,47,ACTIN,1.472,Amp,UNKNOWN,16.587,16.649,0.088,329024.75,316295.38,18002.074,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,A2,47,DWV,1.364,Amp,UNKNOWN,28.77,28.531,0.338,80.6128,95.178,20.598,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,25,FALSE
2,B2,47,DWV,1.365,Amp,UNKNOWN,28.292,28.531,0.338,109.74223,95.178,20.598,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,24,FALSE
1,G6,48,ACTIN,1.414,Amp,UNKNOWN,17.281,17.147,0.189,210370.05,230085,27881.166,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,12,FALSE
1,H6,48,ACTIN,1.42,Amp,UNKNOWN,17.014,17.147,0.189,249799.97,230085,27881.166,36.29999,0.9990826,-3.57306,90.49,TRUE,0.237,TRUE,3,11,FALSE
1,E6,48,DWV,1.279,Amp,UNKNOWN,24.517,24.525,0.012,1252.8591,1245.828,9.943,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,20,FALSE
1,F6,48,DWV,1.289,Amp,UNKNOWN,24.534,24.525,0.012,1238.7972,1245.828,9.943,35.57592,0.9939175,-3.569952,90.6,TRUE,0.095,TRUE,3,20,FALSE
2,G6,49,ACTIN,1.468,Amp,UNKNOWN,16.742,16.721,0.029,297695.97,301669.56,5619.531,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,H6,49,ACTIN,1.463,Amp,UNKNOWN,16.701,16.721,0.029,305643.2,301669.56,5619.531,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,E6,49,DWV,1.369,Amp,UNKNOWN,21.261,21.176,0.12,10228.904,10818.725,834.133,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,17,FALSE
2,F6,49,DWV,1.368,Amp,UNKNOWN,21.092,21.176,0.12,11408.546,10818.725,834.133,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,17,FALSE
3,C2,50,ACTIN,1.464,Amp,UNKNOWN,16.436,16.512,0.107,362555.72,345721.1,23807.76,36.29999,0.9990826,-3.57306,90.49,TRUE,0.307,TRUE,3,10,FALSE
3,D2,50,ACTIN,1.468,Amp,UNKNOWN,16.587,16.512,0.107,328886.47,345721.1,23807.76,36.29999,0.9990826,-3.57306,90.49,TRUE,0.307,TRUE,3,11,FALSE
3,A2,50,DWV,1.371,Amp,UNKNOWN,12.562,12.756,0.274,2795294.8,2486661.2,436473.8,35.57592,0.9939175,-3.569952,90.6,TRUE,0.15,TRUE,3,8,FALSE
3,B2,50,DWV,1.378,Amp,UNKNOWN,12.949,12.756,0.274,2178027.5,2486661.2,436473.8,35.57592,0.9939175,-3.569952,90.6,TRUE,0.15,TRUE,3,8,FALSE
3,C6,51,ACTIN,1.481,Amp,UNKNOWN,18.968,18.07,1.269,70926.33,148203.86,109286.945,36.29999,0.9990826,-3.57306,90.49,TRUE,0.307,TRUE,3,13,FALSE
3,D6,51,ACTIN,1.481,Amp,UNKNOWN,17.173,18.07,1.269,225481.4,148203.86,109286.945,36.29999,0.9990826,-3.57306,90.49,TRUE,0.307,TRUE,3,11,FALSE
3,A6,51,DWV,1.376,Amp,UNKNOWN,26.935,26.9,0.049,263.30786,269.31,8.488,35.57592,0.9939175,-3.569952,90.6,TRUE,0.15,TRUE,3,22,FALSE
3,B6,51,DWV,1.368,Amp,UNKNOWN,26.866,26.9,0.049,275.31155,269.31,8.488,35.57592,0.9939175,-3.569952,90.6,TRUE,0.15,TRUE,3,22,FALSE
2,G7,52,ACTIN,1.479,Amp,UNKNOWN,16.696,16.79,0.134,306709.34,289067,24950.008,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,H7,52,ACTIN,1.456,Amp,UNKNOWN,16.885,16.79,0.134,271424.7,289067,24950.008,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,E7,52,DWV,1.382,Amp,UNKNOWN,12.933,12.921,0.016,2201097.2,2217734.8,23529.086,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,10,FALSE
2,F7,52,DWV,1.346,Amp,UNKNOWN,12.91,12.921,0.016,2234372.2,2217734.8,23529.086,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,9,FALSE
2,G10,53,ACTIN,1.468,Amp,UNKNOWN,16.59,16.627,0.053,328346.84,320580.6,10983.113,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,H10,53,ACTIN,1.464,Amp,UNKNOWN,16.665,16.627,0.053,312814.38,320580.6,10983.113,36.29999,0.9990826,-3.57306,90.49,TRUE,0.245,TRUE,3,11,FALSE
2,E10,53,DWV,1.364,Amp,UNKNOWN,10.515,10.558,0.06,1.05E+07,1.02E+07,394765.34,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,7,FALSE
2,F10,53,DWV,1.324,Amp,UNKNOWN,10.6,10.558,0.06,9909974,1.02E+07,394765.34,35.57592,0.9939175,-3.569952,90.6,TRUE,0.051,TRUE,3,7,FALSE
