yard,treatment_grp,lab_ID,field_ID,nuc_year,date_collected,sampling_event,year,queen_breeder,queen_year_mated,overwinter_success,virgin_year,frame_of_bees_FHA,frame_of _bees_date,frame_of_bees,brood_amnt_FHA,brood_amnt,brood_pat,brood_swarm_cells,disease_present,FKB_start_date,FKB_end_date,FKB_start_uncapped,FKB_start_capped,FKB_end_capped,FKB_percentile,UBO_date,UBO_T0,UBO_T2,UBO_T0_capped,UBO_T2_capped,UBO_assay_score,RNA_ext_date,virus_count,varroa_count,nosema_count,varroa_load_mites/100bees,nosema_load_spores/bee,honey_removed,october_weight,queen_eval_pat,queen_eval_amt,pollen_sub_added,comments,,,,
Fortin,,75,4,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,NA,NA,NA,NA,,,,,,,,,0,28,0,1400000,,,,,,new Q,,,,
Fortin,,73,9,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,14,146,101,30.82%,,,,,,,,,2,0,0.6666666667,0,,,,,,re-do HB test,,,,
Fortin,,74,6,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,11,149,19,87.25%,,,,,,,,,0,5,0,250000,,,,,,,,,,
Fortin,,81,10,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,26,134,33,75.37%,,,,,,,,,0,7,0,350000,,,,,,,,,,
Fortin,,76,20,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,20,140,59,57.86%,,,,,,,,,5,0,1.666666667,0,,,,,,,,,,
Fortin,,78,21,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,14,146,66,54.79%,,,,,,,,,0,0,0,0,,,,,,,,,,
Fortin,,79,22,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,16,144,83,42.36%,,,,,,,,,0,0,0,0,,,,,,,,,,
Fortin,,77,19,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,23,137,49,64.23%,,,,,,,,,5,1,1.666666667,50000,,,,,,,,,,
Fortin,,82,25,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,24,136,46,66.18%,,,,,,,,,3,4,1,200000,,,,,,,,,,
Fortin,,83,16,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,5,155,59,61.94%,,,,,,,,,1,2,0.3333333333,100000,,,,,,,,,,
Ferland,,68,3,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,15,145,57,60.69%,,,,,,,,,4,3,1.333333333,150000,,,,,,,,,,
Ferland,,67,1,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,31,129,58,55.04%,,,,,,,,,2,0,0.6666666667,0,,,,,,,,,,
Ferland,,69,18,,6/25/21,2,2021,,,,,,,,,,,,,6/23/21,6/25/21,NA,NA,NA,NA,,,,,,,,,1,2,0.3333333333,100000,,,,,,,,,,
