yard,treatment_grp,lab_ID,field_ID,nuc_year,date_collected,sampling_event,year,queen_breeder,queen_year_mated,overwinter_success,virgin_year,frame_of_bees_FHA,frame_of _bees_date,frame_of_bees,brood_amnt_FHA,brood_amnt,brood_pat,brood_swarm_cells,disease_present,FKB_start_date,FKB_end_date,FKB_start_uncapped,FKB_start_capped,FKB_end_capped,FKB_percentage,UBO_date,UBO_start_time,UBO_end_time,UBO_start_capped,UBO_end_uncapped,UBO_percentile,RNA_ext_date,virus_count,varroa_count,nosema_count,varroa_load_mites.100.bees,nosema_load_spores.bee,honey_removed,october_weight,queen_eval_pat,queen_eval_amt,pollen_sub_added,comments,,,,
Ferland,,70,22,,5/25/21,1,2021,,,,,10,,10,,,,,,,,,,,,,,,,,,,,0,93,0,4650000,,,,,,,,,,
Ferland,,71,21,,5/25/21,1,2021,,,,,10+,,10,,,,,,,,,,,,,,,,,,,,0,107,0,5350000,,,,,,,,,,
Ferland,,72,20,,5/25/21,1,2021,,,,,10,,10,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,
Brigham,,35,1,,5/26/21,1,2021,69,2020,,,,,,6,6,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,,
Brigham,,38,7,,5/26/21,1,2021,75,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,4,0,200000,,,,,,,,,,
Brigham,,36,4,,5/26/21,1,2021,75,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Brigham,,39,13,,5/26/21,1,2021,76,2019,,,,,,,,,,,,,,,,,,,,,,,,,0,11,0,550000,,,,,,,,,,
Brigham,,41,6,,5/26/21,1,2021,69,2020,,,,,,7,7,,,,,,,,,,,,,,,,,,0,5,0,250000,,,,,,,,,,
Brigham,,40,11,,5/26/21,1,2021,76,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,16,0,800000,,,,,,,,,,
Brigham,,34,2,,5/26/21,1,2021,75,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,32,0,1600000,,,,,,,,,,
Brigham,,37,5,,5/26/21,1,2021,75,2020,,,,,,7+1,7,,,,,,,,,,,,,,,,,,0,8,0,400000,,,,,,,,,,
Camisa,,46,13,,5/26/21,1,2021,69,2020,,,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,,,,,,,
Camisa,,43,10,,5/26/21,1,2021,69,2020,,,,,,6,6,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Camisa,,44,5,,5/26/21,1,2021,69,2020,,,,,,6,6,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,,
Camisa,,42,11,,5/26/21,1,2021,69,2020,,,,,,7,7,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,,
Camisa,,48,19,,5/26/21,1,2021,69,2020,,,,,,7,7,,,,,,,,,,,,,,,,,,0,2,0,100000,,,,,,,,,,
Camisa,,45,16,,5/26/21,1,2021,69,2020,,,,,,6,6,,,,,,,,,,,,,,,,,,0,5,0,250000,,,,,,,,,,
Camisa,,47,14,,5/26/21,1,2021,69,2020,,,,,,6,6,,,,,,,,,,,,,,,,,,0,1,0,50000,,,,,,,,,,
Yandow,,59,2,,6/2/21,1,2021,76,2019,,,10+,,10,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,60,9,,6/2/21,1,2021,69,2019,,,12,,12,,,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,61,UVM1,,6/2/21,1,2021,69,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,62,UVM2,,6/2/21,1,2021,75,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,63,UVM3,,6/2/21,1,2021,76,2020,,,,,,8,8,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
Yandow,,64,UVM4,,6/2/21,1,2021,75,2020,,,,,,7,7,,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,
